fbgn	gene	pathway	role	GeneID
FBgn0003079	Raf	EGFR signaling pathway	other	31221
FBgn0003205	Ras85D	EGFR signaling pathway	other	41140
FBgn0004390	RasGAP1	EGFR signaling pathway	other	39158
FBgn0004635	rho	EGFR signaling pathway	other	38168
FBgn0003256	rl	EGFR signaling pathway	other	3354888
FBgn0003310	S	EGFR signaling pathway	other	33281
FBgn0262866	S6kII	EGFR signaling pathway	other	33139
FBgn0015296	Shc	EGFR signaling pathway	other	44052
FBgn0001965	Sos	EGFR signaling pathway	other	34790
FBgn0264959	Src42A	EGFR signaling pathway	other	35524
FBgn0262733	Src64B	EGFR signaling pathway	other	48973
FBgn0029157	ssh	EGFR signaling pathway	other	42986
FBgn0014388	sty	EGFR signaling pathway	other	38424
FBgn0042693	wrd	EGFR signaling pathway	other	42169
FBgn0000097	aop	EGFR signaling pathway	TF	33392
FBgn0005660	Ets21C	EGFR signaling pathway	TF	33229
FBgn0003118	pnt	EGFR signaling pathway	TF	42757
FBgn0011274	Dif	Toll signaling pathway	TF	35045
FBgn0260632	dl	Toll signaling pathway	TF	35047
FBgn0033402	Myd88	Toll signaling pathway	other	35956
FBgn0261526	NT1	Toll signaling pathway	ligand	38558
FBgn0010441	pll	Toll signaling pathway	other	43283
FBgn0003495	spz	Toll signaling pathway	ligand	43256
FBgn0035379	spz5	Toll signaling pathway	ligand	38350
FBgn0026760	Tehao	Toll signaling pathway	other	34761
FBgn0262473	Tl	Toll signaling pathway	receptor	43222
FBgn0034476	Toll-7	Toll signaling pathway	receptor	37272
FBgn0036978	Toll-9	Toll signaling pathway	other	40245
FBgn0003882	tub	Toll signaling pathway	other	40554
FBgn0001990	wek	Toll signaling pathway	other	48785
FBgn0000166	bcd	Torso signaling pathway	other	40830
FBgn0262582	cic	Torso signaling pathway	TF	53560
FBgn0261016	clos	Torso signaling pathway	other	5740204
FBgn0286070	cnk	Torso signaling pathway	other	36952
FBgn0000382	csw	Torso signaling pathway	other	45278
FBgn0016794	dos	Torso signaling pathway	other	38321
FBgn0004638	drk	Torso signaling pathway	other	36497
FBgn0010269	Dsor1	Torso signaling pathway	other	31872
FBgn0005390	fs(1)M3	Torso signaling pathway	other	45994
FBgn0004650	fs(1)N	Torso signaling pathway	other	45973
FBgn0001139	gro	Torso signaling pathway	other	43162
FBgn0015402	ksr	Torso signaling pathway	other	40660
FBgn0013323	Ptth	Torso signaling pathway	other	33238
FBgn0003079	Raf	Torso signaling pathway	other	31221
FBgn0004636	Rap1	Torso signaling pathway	other	38244
FBgn0003205	Ras85D	Torso signaling pathway	other	41140
FBgn0003256	rl	Torso signaling pathway	other	3354888
FBgn0015296	Shc	Torso signaling pathway	other	44052
FBgn0001965	Sos	Torso signaling pathway	other	34790
FBgn0003733	tor	Torso signaling pathway	receptor	35717
FBgn0003751	trk	Torso signaling pathway	ligand	34376
FBgn0003867	tsl	Torso signaling pathway	other	42564
